category,production,type,title,distributor,producer,year,page,page_id
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Ronni Brown, Foley Artist",Winner,The Mandalorian,Disney+,Lucasfilm Ltd.,2020,126,10
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Jana Vance, Foley Artist",Winner,The Mandalorian,Disney+,Lucasfilm Ltd.,2020,126,10
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Bobby Mackston, Sound Supervisor",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgmental Films, Alec Berg and 3 Arts Entertainment",2020,127,1
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Sean Garnhart, Sound Effects Editor",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgmental Films, Alec Berg and 3 Arts Entertainment",2020,127,1
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Ryan Gierke, Dialogue Editor",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgmental Films, Alec Berg and 3 Arts Entertainment",2020,127,1
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Joe Deveau, Music Editor",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgmental Films, Alec Berg and 3 Arts Entertainment",2020,127,1
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Vincent Guisetti, Foley Artist",Nominee,Silicon Valley,HBO,"HBO Entertainment in association with Judgmental Films, Alec Berg and 3 Arts Entertainment",2020,127,1
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Bobby Mackston, Co-Supervising Sound Editor/ ADR Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Paul Hammond, Co-Supervising Sound Editor/ Dialogue Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Sean Garnhart, Sound Effects Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Jason Tregoe Newman, Music Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Tessa Phillips, Music Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Aran Tanchum, Foley Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Alfredo Douglas, Foley Editor",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Vincent Guisetti, Foley Artist",Nominee,Space Force,Netflix,Netflix,2020,127,2
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Steffan Falesitch, Sound Supervisor",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"David Barbee, Sound Effects Editor",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Angelina Faulkner, Dialogue Editor",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Steve Griffen, Music Editor",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Sam C. Lewis, Foley Editor",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"John Guentner, Foley Editor",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation - 2020,"Ellen Heuer, Foley Artist",Nominee,What We Do In The Shadows,FX Networks,FX Productions,2020,127,3
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Kamasi Washington, Composer",Nominee,Becoming,Netflix,A Higher Ground Productions and Big Mouth Productions Film,2020,127,4
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Amanda Jones, Composer",Nominee,Home,Apple TV+,MediaWeaver / Four M Studios / Altimeter Films,2020,127,5
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Pinar Toprak, Composer",Nominee,McMillion$,HBO,HBO Documentary Films and Unrealistic Ideas in association with Fun Meter,2020,127,6
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Alex Kovacs, Composer",Nominee,McMillion$,HBO,HBO Documentary Films and Unrealistic Ideas in association with Fun Meter,2020,127,6
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Mark Mothersbaugh, Composer",Nominee,"Tiger King: Murder, Mayhem And Madness",Netflix,A Goode Films Production in association with Library Films and Article 19 Films,2020,127,7
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"John Enroth, Composer",Nominee,"Tiger King: Murder, Mayhem And Madness",Netflix,A Goode Films Production in association with Library Films and Article 19 Films,2020,127,7
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Albert Fox, Composer",Nominee,"Tiger King: Murder, Mayhem And Madness",Netflix,A Goode Films Production in association with Library Films and Article 19 Films,2020,127,7
Outstanding Music Composition For A Documentary Series Or Special (Original Dramatic Score) - 2020,"Laura Karpman, Composer",Winner,Why We Hate,Discovery Channel,South Cove Productions,2020,127,8
Outstanding Innovation In Interactive Media (Juried) - 2020,"Ricardo Laganaro, Director",Winner,The Line,Oculus,ARVORE Immersive Experiences,2020,128,5
Outstanding Innovation In Interactive Media (Juried) - 2020,"Ricardo Justus, Executive Producer",Winner,The Line,Oculus,ARVORE Immersive Experiences,2020,128,5
Outstanding Innovation In Interactive Media (Juried) - 2020,"Edouard de Montmort, Executive Producer",Winner,The Line,Oculus,ARVORE Immersive Experiences,2020,128,5
Outstanding Motion Design (Juried) - 2020,"Leanne Dare, Creative Director",Winner,Inside Bill's Brain: Decoding Bill Gates,Netflix,A Concordia Studio Production,2020,128,6
Outstanding Motion Design (Juried) - 2020,"Eben McCue, Animator",Winner,Inside Bill's Brain: Decoding Bill Gates,Netflix,A Concordia Studio Production,2020,128,6
Outstanding Motion Design (Juried) - 2020,"Sebastian Hoppe-Fuentes, Animator",Winner,Inside Bill's Brain: Decoding Bill Gates,Netflix,A Concordia Studio Production,2020,128,6
Outstanding Motion Design (Juried) - 2020,"David Navas, Animator",Winner,Inside Bill's Brain: Decoding Bill Gates,Netflix,A Concordia Studio Production,2020,128,6
Outstanding Picture Editing For A Nonfiction Program - 2020,"Lindsay Utz, ACE, Editor",Nominee,American Factory,Netflix,Higher Ground Productions and Participant Media,2020,128,7
Outstanding Innovation In Interactive Media (Juried) - 2020,"Sam Wasserman, Executive Producer",Winner,Create Together With Joseph Gordon-Levitt,YouTube,"HITRECORD, Brian Graden Media, YouTube Originals",2020,128,8
Outstanding Innovation In Interactive Media (Juried) - 2020,"Joseph Gordon-Levitt, Executive Producer",Winner,Create Together With Joseph Gordon-Levitt,YouTube,"HITRECORD, Brian Graden Media, YouTube Originals",2020,128,8
Outstanding Lighting Design/Lighting Direction For A Variety Series - 2020,"Oscar Dominguez, Lighting Designer",Nominee,The Voice,NBC,MGM Television and Warner Horizon Unscripted Television and ITV Studios The Voice USA Inc.,2020,128,9
Outstanding Lighting Design/Lighting Direction For A Variety Series - 2020,"Daniel Boland, Lighting Director",Nominee,The Voice,NBC,MGM Television and Warner Horizon Unscripted Television and ITV Studios The Voice USA Inc.,2020,128,9
Outstanding Lighting Design/Lighting Direction For A Variety Series - 2020,"Craig Housenick, Lighting Director",Nominee,The Voice,NBC,MGM Television and Warner Horizon Unscripted Television and ITV Studios The Voice USA Inc.,2020,128,9
Outstanding Lighting Design/Lighting Direction For A Variety Series - 2020,"Samuel Barker, Lighting Director",Nominee,The Voice,NBC,MGM Television and Warner Horizon Unscripted Television and ITV Studios The Voice USA Inc.,2020,128,9
Outstanding Lighting Design/Lighting Direction For A Variety Series - 2020,"Johnny Bradley, Lighting Director",Nominee,The Voice,NBC,MGM Television and Warner Horizon Unscripted Television and ITV Studios The Voice USA Inc.,2020,128,9
Outstanding Casting For A Reality Program - 2020,"Goloka Bolte, CSA, Casting by",Winner,RuPaul's Drag Race,VH1,World of Wonder Productions,2020,128,10
Outstanding Casting For A Reality Program - 2020,"Ethan Petersen, CSA, Casting by",Winner,RuPaul's Drag Race,VH1,World of Wonder Productions,2020,128,10
Outstanding Animated Program - 2019,"Nick Kroll, Executive Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Andrew Goldberg, Executive Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Mark J. Levin, Executive Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Jennifer Flackett, Executive Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Joe Wengert, Supervising Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Ben Kalina, Supervising Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Chris Prynoski, Supervising Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Shannon Prynoski, Supervising Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Anthony Lioi, Supervising Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Gil Ozeri, Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Kelly Galuska, Producer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Nate Funaro, Produced by",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Emily Altman, Written by",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Bryan Francis, Directed by",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Mike L. Mayfield, Co-Supervising Director",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Jerilyn Blair, Animation Timer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Bill Buchanan, Animation Timer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Sean Dempsey, Animation Timer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Jamie Huang, Animation Timer",Nominee,Big Mouth,Netflix,A Netflix Original Production,2019,130,2
Outstanding Animated Program - 2019,"Loren Bouchard, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Jim Dauterive, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Dan Fybel, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Rich Rinaldi, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Jon Schroeder, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Nora Smith, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Greg Thompson, Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Steven Davis, Co-Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Scott Jacobson, Co-Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Holly Schlesinger, Co-Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Kelvin Yu, Co-Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Lizzie Molyneux, Co-Executive Producer/Writer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Wendy Molyneux, Co-Executive Producer/Writer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Janelle Momary-Neely, Supervising Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Joel Kuwahara, Animation Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Scott Greenberg, Animation Executive Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Mike Penketh, Animation Producer",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Ian Hamilton, Director",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Bernard Derriman, Supervising Director",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Tony Gennaro, Supervising Director",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Doug Gallery, Timing Supervisor",Nominee,Bob's Burgers,FOX,20th Century Fox Television,2019,130,3
Outstanding Animated Program - 2019,"Raphael Bob-Waksberg, Executive Producer/Written by",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Noel Bright, Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Steven A. Cohen, Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Will Arnett, Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Aaron Paul, Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Peter A. Knight, Co-Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Elijah Aron, Co-Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Kate Purdy, Co-Executive Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Lisa Hanawalt, Supervising Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Joanna Calo, Supervising Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Kelly Galuska, Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Nick Adams, Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Alex Bulkley, Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Corey Campodonico, Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Richard Choi, Producer",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Mike Hollingsworth, Producer/Supervising Director",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Amy Winfrey, Directed by",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Peter Merryman, Assistant Director",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Anne Walker Farrell, Animation Director",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Adam Parton, Animation Director",Nominee,BoJack Horseman,Netflix,"Tornante Productions, LLC",2019,130,4
Outstanding Animated Program - 2019,"Pendleton Ward, Executive Producer/Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Adam Muto, Executive Producer/Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Rob Sorcher, Executive Producer",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Brian A. Miller, Executive Producer",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Jennifer Pelphrey, Executive Producer",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Conrad Montgomery, Co-Executive Producer",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Kelly Crews, Supervising Producer",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Keith Mack, Producer",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Tom Herpich, Written by/Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Steve Wolfhard, Written by/Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Somvilay Xayaphone, Written by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Seo Kim, Written by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Aleks Sennwald, Written by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Hanna K. Nyström, Written by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Graham Falk, Written by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Kent Osborne, Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Jack Pendarvis, Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Julia Pott, Story by",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Cole Sanchez, Supervising Director",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Diana Lafyatis, Supervising Director",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"Lindsey Pollard, Animation Director",Nominee,Come Along With Me (Adventure Time),Cartoon Network,Cartoon Network Studios,2019,130,5
Outstanding Animated Program - 2019,"James L. Brooks, Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Matt Groening, Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Al Jean, Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Matt Selman, Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"John Frink, Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"J. Stewart Burns, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Bill Odenkirk, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Joel H. Cohen, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Rob LaZebnik, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Jeff Westbrook, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Brian Kelley, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Dan Vebber, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Ryan Koh, Co-Executive Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Richard Raynis, Produced by",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Tom Klein, Animation Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Andrea Romero, Animation Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Mike B. Anderson, Supervising Producer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Michael Price, Written by",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Rob Oliver, Directed by",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Eddie Rosas, Assistant Director",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Animated Program - 2019,"Carlton Batten, Lead Animation Timer",Winner,The Simpsons,FOX,Gracie Films in association with 20th Century Fox Television,2019,130,6
Outstanding Short Form Animated Program - 2019,"David Fincher, Executive Producer",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Tim Miller, Executive Producer",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Jennifer Miller, Executive Producer",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Joshua Donen, Executive Producer",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Victoria Howard, Supervising Producer",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Gennie Rim, Producer",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Alberto Mielgo, Written by/Directed by",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Gabriele Pennacchioli, Supervising Director",Winner,"Love, Death & Robots",Netflix,Blur Studio,2019,130,7
Outstanding Short Form Animated Program - 2019,"Seth Green, Executive Producer/Written by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Matthew Senreich, Executive Producer/Written by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"John Harvatine IV, Executive Producer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Eric Towner, Executive Producer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Keith Crofford, Executive Producer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Mike Lazzo, Executive Producer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Tom Root, Executive Producer/Head Writer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Doug Goldstein, Executive Producer/Head Writer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Margaret M. Dean, Supervising Producer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Ollie Green, Producer",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Mike Fasolo, Written by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Kiel Kennedy, Written by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Michael Poisson, Written by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Ellory Smith, Written by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Tom Sheppard, Written by/Directed by",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Alex Kamer, Animation Director",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Scott DaRos, Co-Animation Director",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Matt Sheldon, Assistant Director",Nominee,Robot Chicken,Adult Swim,Stoopid Buddy Stoodios,2019,130,8
Outstanding Short Form Animated Program - 2019,"Stephen Hillenburg, Executive Producer",Nominee,SpongeBob SquarePants,Nickelodeon,Nickelodeon,2019,130,9
Outstanding Short Form Animated Program - 2019,"Marc Ceccarelli, Supervising Producer",Nominee,SpongeBob SquarePants,Nickelodeon,Nickelodeon,2019,130,9
